,HillaryClinton,SenSanders,elizabethforma,is_democrat,mike_pence,realDonaldTrump,seanhannity,tedcruz,user_id,user_names
0,True,False,False,1.0,False,False,False,False,3071251042,HillaryforSC
1,True,False,False,1.0,False,False,False,False,130839979,Beatriztwitting
2,False,False,False,1.0,False,False,False,False,21610345,ehs_wildcats
3,True,False,True,1.0,False,False,False,False,19273919,RheaButcher
4,False,False,False,1.0,False,False,False,False,1957362266,letusnow
5,True,True,True,1.0,False,False,False,False,259573403,LisseOnline
6,False,False,False,1.0,False,False,False,False,156503964,girlmeetsfogeI
7,False,False,False,1.0,False,False,False,False,2832323570,maialeecyrus
8,True,False,True,1.0,False,False,False,False,491997391,thetenderland
9,True,True,True,1.0,False,False,True,False,15097615,hilaryr
10,True,False,True,1.0,False,False,False,False,3732111014,artistgf
11,False,True,False,1.0,False,False,False,False,591317290,faithevastewart
12,False,False,False,1.0,False,False,False,False,325148223,hmhdreamer
13,False,False,False,1.0,False,False,False,False,5976992,kellysue
14,False,False,False,1.0,False,False,False,False,3008713519,TheyFall4Autumn
15,True,True,True,1.0,False,False,False,False,13073662,WendyMolyneux
16,True,True,True,1.0,False,True,False,False,53503202,kharyp
17,True,True,False,1.0,False,False,False,False,485289610,MonsterMontague
18,True,False,False,1.0,False,False,False,False,92095091,NateIngraham
19,True,False,False,1.0,False,False,False,False,178063571,JJFan18
20,True,False,False,1.0,False,False,False,False,3071251042,HillaryforSC
21,True,False,False,1.0,False,False,False,False,130839979,Beatriztwitting
22,False,False,False,1.0,False,False,False,False,21610345,ehs_wildcats
23,True,False,True,1.0,False,False,False,False,19273919,RheaButcher
24,False,False,False,1.0,False,False,False,False,1957362266,letusnow
25,True,True,True,1.0,False,False,False,False,259573403,LisseOnline
26,False,False,False,1.0,False,False,False,False,156503964,girlmeetsfogeI
27,False,False,False,1.0,False,False,False,False,2832323570,maialeecyrus
28,True,False,True,1.0,False,False,False,False,491997391,thetenderland
29,True,True,True,1.0,False,False,True,False,15097615,hilaryr
30,True,False,True,1.0,False,False,False,False,3732111014,artistgf
31,False,True,False,1.0,False,False,False,False,591317290,faithevastewart
32,False,False,False,1.0,False,False,False,False,325148223,hmhdreamer
33,False,False,False,1.0,False,False,False,False,5976992,kellysue
34,False,False,False,1.0,False,False,False,False,3008713519,TheyFall4Autumn
35,True,True,True,1.0,False,False,False,False,13073662,WendyMolyneux
36,True,True,True,1.0,False,True,False,False,53503202,kharyp
37,True,True,False,1.0,False,False,False,False,485289610,MonsterMontague
38,True,False,False,1.0,False,False,False,False,92095091,NateIngraham
39,True,False,False,1.0,False,False,False,False,178063571,JJFan18
40,True,False,False,1.0,False,False,False,False,26907579,bryansafi
41,True,False,True,1.0,False,False,False,False,4282129933,JereBurns
42,True,False,False,1.0,False,False,False,False,3065753301,HillaryforNV
43,True,False,False,1.0,False,False,False,False,371959193,kidrauxlspirit
44,False,False,False,1.0,False,False,False,False,2633110377,Anilovatic26
45,False,False,False,1.0,False,False,False,False,2718334376,camilacabesho97
46,False,False,False,1.0,False,False,False,False,2980506971,sparkliam
47,True,True,True,1.0,False,False,False,False,1335267692,FaithVotersPAC
48,True,False,False,1.0,False,False,False,False,2407747754,JBeliebersPower
49,True,False,False,1.0,False,False,False,False,15440889,BenjaminAhr
50,True,False,True,1.0,False,False,False,False,18005489,divarobbie
51,True,False,False,1.0,False,False,False,False,2314055840,mayaharris_
52,True,False,False,1.0,False,False,False,False,494645314,charmfoz
53,True,False,False,1.0,False,False,False,False,44555211,carinakolodny
54,True,False,False,1.0,False,False,False,False,3047938510,HillaryforCO
55,True,False,False,1.0,False,True,False,True,17167572,frodofied
56,True,True,False,1.0,False,False,False,False,1128928075,missyp6343
57,False,False,False,1.0,False,False,False,False,475586642,jujusguurl
58,True,False,False,1.0,False,False,False,False,7766032,goodasyou
59,True,False,False,1.0,False,False,True,False,3056746427,JessicaTarlov
60,True,True,True,1.0,False,False,False,False,15447066,melissacwalker
61,True,True,True,1.0,False,False,False,False,16474698,kmc1213
62,True,False,False,1.0,False,False,False,False,14800583,howardtayler
63,False,False,False,1.0,False,False,False,False,2764265406,carlvinmareko14
64,True,True,True,1.0,False,True,False,False,16528755,IamMinyon
65,True,True,False,1.0,False,False,False,False,2808750414,Shades_of_Gay
66,True,False,True,1.0,False,True,False,False,2279401,PaulFidalgo
67,True,True,True,1.0,False,True,False,False,3044710461,HillaryforAZ
68,True,False,False,1.0,False,False,False,False,3099776635,anfieldazizah1
69,True,False,True,1.0,False,False,False,False,15909478,MJB_SF
70,True,False,False,1.0,False,False,False,False,15813069,maxlinsky
71,False,False,False,1.0,False,False,False,False,851711263,marstu67
72,True,False,True,1.0,False,False,False,False,4353841283,Millennials4Her
73,True,False,False,1.0,False,False,False,False,328314692,ItsVero_R
74,False,False,False,1.0,False,True,False,False,4638529757,HillaryUSA16
75,True,False,True,1.0,False,False,False,False,212275502,joeyarbagey
76,True,False,False,1.0,False,False,False,False,3061981559,HillaryforMI
77,True,True,False,1.0,False,True,False,False,14099834,nancyfranklin
78,True,False,False,1.0,False,False,False,False,476315898,politicalmiller
79,False,False,False,1.0,False,False,False,False,522872856,kelli_barrett
80,True,False,False,1.0,False,False,False,False,126652650,WildNightWishes
81,False,False,False,1.0,False,False,False,False,18584536,jazzmen_k
82,True,False,True,1.0,False,True,False,False,3394741149,WomenG4Hillary
83,True,False,True,1.0,False,False,False,False,52893,StefanHayden
84,True,True,True,1.0,False,True,False,False,39084522,abbygardner
85,False,False,False,1.0,False,False,False,False,2217356106,Olitz4Eva
86,True,False,True,1.0,False,False,False,False,229769022,jakejarvis
87,True,False,False,1.0,False,True,False,False,1345682257,otono60
88,True,False,False,1.0,False,False,False,False,16292515,brianpines
89,False,False,False,1.0,False,False,False,False,9768582,jewelia
90,True,False,False,1.0,False,False,False,False,16642424,adrienneelrod
91,True,True,False,1.0,False,False,False,False,177113537,Julia_Wayne
92,True,False,False,1.0,False,False,False,False,4738087979,PiersmaND
93,True,False,False,1.0,False,True,False,False,520614628,gideon_mutai
94,True,True,False,1.0,False,False,False,False,2809012601,infinityonmaron
95,True,False,False,1.0,False,True,False,False,61585965,etchaStech
96,True,False,False,1.0,False,False,False,False,117249440,CynthiaDSweeney
97,True,True,False,1.0,False,False,False,False,22421548,BevaniteEllie
98,False,False,False,1.0,False,False,False,False,1014458592,_KeepIt_Simple_
99,False,True,False,1.0,False,False,False,False,4063376292,slothyoakley
100,True,True,True,1.0,False,False,False,False,8288752,jamiesk
101,True,False,False,1.0,False,False,False,True,29007043,vxanand
102,True,False,False,1.0,False,False,False,False,3068825260,HillaryforOK
103,False,False,False,1.0,False,False,False,False,2539591450,ilyalessiacara
104,True,False,False,1.0,False,False,False,False,570921917,teensupportt
105,True,False,False,1.0,False,True,False,False,3225924410,studentshillary
106,True,False,True,1.0,False,False,False,True,29407613,nicholebeattie
107,True,False,False,1.0,False,False,False,False,115188168,alpanasingh
108,True,False,False,1.0,False,False,False,False,17789895,BeccaH_JR
109,True,False,False,1.0,False,False,False,False,3171896913,GWforHillary
110,True,False,False,1.0,False,False,False,False,3047899581,HillaryforCT
