Location,Handle,Text,Geo,Place
Ashburn,NoVaTechCouncil,How Best to Buy Cyber Panel starting now! @USGSA @CyberAssured @DHSgov @northropgrumman @pillsburylaw #CapitalCyber https://t.co/8aAgp9VzYF,,NULL
Ashburn,PMastroddi,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,varepall,Brazile's Ethical Breach: Why won't CNN disclose its internal investigation? | https://t.co/kDs2fJqxdK,,NULL
Ashburn,OaktonAthletics,Tomorrow night is SR night for @OaktonFootball @OaktonCheer @OAKTONXC &amp; Dance Team. Come out and celebrate our Seniors!,,NULL
Ashburn,ContemporaryCV,"@fredjoyal great webinar, as always! Thanks!",,NULL
Ashburn,billrob549,RT @varepall: Schweizer: Clinton Cash Is the 'Roadmap' for FBI Foundation Probe - Breitbart https://t.co/yy96EXADCF,,NULL
Ashburn,timzello,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,NewaHailu,RT @BruceBartlett: If this campaign has proven one thing beyond dispute it is that racism still runs very deep in the nation's veins.,,NULL
Ashburn,Santa_Ana_20,"RT @WashSpirit: Spirit Defender Ali Krieger Traded to Orlando Pride

READ: https://t.co/OVLsHRdM6I",,NULL
Ashburn,johncarls,@JoshClose @_authorblues yeah me too. I also am not as crazy bothers by ads as everyone else seems to be. Never bothered me.,,NULL
Ashburn,WeatherBug,Thinking about #Friday yet... quiet weather continues for most of the U.S. https://t.co/yMAr3WxuFJ https://t.co/LrujW6lYXT,,NULL
Ashburn,patmeenan,@Catchpoint @SapphireVC @BatteryVentures Congratulations!  Looking forward to seeing where you guys go.,,NULL
Ashburn,RAVerBruggen,"""Press release for journalists"" https://t.co/QKkWsF4aFj",,NULL
Ashburn,JunkScience,Go @Wikileaks! https://t.co/7Uhfj8QuJe,,NULL
Ashburn,angelhomeinc,"No doors left behind!
Some doors must scream for help to be heard.  
Doors deserve to be well taken care of.... https://t.co/X9x5PwNgtO",,NULL
Ashburn,Decoder2,RT @varepall: 'Voter fraud'? California man finds dozens of ballots stacked outside home | https://t.co/TBnwgEelmf,,NULL
Ashburn,crisqueznews,RT @BruceBartlett: If this campaign has proven one thing beyond dispute it is that racism still runs very deep in the nation's veins.,,NULL
Ashburn,sikalicious1,RT @BruceBartlett: If this campaign has proven one thing beyond dispute it is that racism still runs very deep in the nation's veins.,,NULL
Ashburn,P_ConnerJr,RT @Rich_TandlerCSN: #TweetsFromRedskinsPark2015 https://t.co/43zbBSyobx,,NULL
Ashburn,td21241,RT @BrentBozell: Here is my full statement on the networks' blackout of the likely Clinton Foundation indictment. https://t.co/ztcCBXdOdc,,NULL
Ashburn,train_depot,Check out Plasticville Freight Station Kit LM-3 In Original Box  C7~TSU #Plasticville https://t.co/pn3XLiiuTR via @eBay,,NULL
Ashburn,falfiee,RT @varepall: 'Voter fraud'? California man finds dozens of ballots stacked outside home | https://t.co/TBnwgEelmf,,NULL
Ashburn,wadewire,RT @COSProject: Isn't it time we embrace the whole Constitution? https://t.co/HngOb9iGYj #ThursdayThoughts,,NULL
Ashburn,Hamish_Hoosen,A Gupta in the hand is worth two in Dubai. #ArresttheGuptas,,"Chantilly, VA"
Ashburn,TonyBlazier,1989 Miami Supercross Round 5 https://t.co/wJvTDBgGRd via @YouTube,,NULL
Ashburn,M_W_19,@Kgskins26 &gt; contracts,,"Stone Ridge, VA"
Ashburn,DaveDmart30959,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,karmasenz,RT @BrentBozell: Here is my full statement on the networks' blackout of the likely Clinton Foundation indictment. https://t.co/ztcCBXdOdc,,NULL
Ashburn,giannakerestesy,writing practice essays for the GRE and having major flashbacks to the dbq days in schlegs classroom,,NULL
Ashburn,varepall,'Voter fraud'? California man finds dozens of ballots stacked outside home | https://t.co/TBnwgEelmf,,NULL
Ashburn,hikergonemad,RT @varepall: Schweizer: Clinton Cash Is the 'Roadmap' for FBI Foundation Probe - Breitbart https://t.co/yy96EXADCF,,NULL
Ashburn,Azuri21,RT @varepall: Schweizer: Clinton Cash Is the 'Roadmap' for FBI Foundation Probe - Breitbart https://t.co/yy96EXADCF,,NULL
Ashburn,zInvinciblex,@TrulyBmx @ElTrollster Chances are i'll get a PS4 by the end of the year. I just don't see why I would buy one right now.,,NULL
